"","Code.or.Value","Value.Description","Count","Cumulative","Skip.to.Item","Variable","Fichier","jointure","var_tab"
"45","77","Refused",0,"9969",NA,"DMDBORN4","DEMO_I.htm","DMDBORN4_DEMO_77","DMDBORN4_DEMO"
"46","99","Don't Know",2,"9971",NA,"DMDBORN4","DEMO_I.htm","DMDBORN4_DEMO_99","DMDBORN4_DEMO"
"47",".","Missing",0,"9971",NA,"DMDBORN4","DEMO_I.htm","DMDBORN4_DEMO_.","DMDBORN4_DEMO"
"48","1","Citizen by birth or naturalization",8785,"8785",NA,"DMDCITZN","DEMO_I.htm","DMDCITZN_DEMO_1","DMDCITZN_DEMO"
"49","2","Not a citizen of the US",1168,"9953",NA,"DMDCITZN","DEMO_I.htm","DMDCITZN_DEMO_2","DMDCITZN_DEMO"
"50","7","Refused",9,"9962",NA,"DMDCITZN","DEMO_I.htm","DMDCITZN_DEMO_7","DMDCITZN_DEMO"
"51","9","Don't Know",7,"9969",NA,"DMDCITZN","DEMO_I.htm","DMDCITZN_DEMO_9","DMDCITZN_DEMO"
"52",".","Missing",2,"9971",NA,"DMDCITZN","DEMO_I.htm","DMDCITZN_DEMO_.","DMDCITZN_DEMO"
"53","1","Less than 1 year",111,"111",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_1","DMDYRSUS_DEMO"
"54","2","1 year or more, but less than 5 years",273,"384",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_2","DMDYRSUS_DEMO"
"55","3","5 year or more, but less than 10 years",269,"653",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_3","DMDYRSUS_DEMO"
"56","4","10 year or more, but less than 15 years",285,"938",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_4","DMDYRSUS_DEMO"
"57","5","15 year or more, but less than 20 years",241,"1179",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_5","DMDYRSUS_DEMO"
"58","6","20 year or more, but less than 30 years",384,"1563",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_6","DMDYRSUS_DEMO"
"59","7","30 year or more, but less than 40 years",281,"1844",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_7","DMDYRSUS_DEMO"
"60","8","40 year or more, but less than 50 years",161,"2005",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_8","DMDYRSUS_DEMO"
"61","9","50 years or more",130,"2135",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_9","DMDYRSUS_DEMO"
"62","77","Refused",44,"2179",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_77","DMDYRSUS_DEMO"
"63","99","Don't Know",57,"2236",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_99","DMDYRSUS_DEMO"
"64",".","Missing",7735,"9971",NA,"DMDYRSUS","DEMO_I.htm","DMDYRSUS_DEMO_.","DMDYRSUS_DEMO"
"65","0","Never attended / kindergarten only",239,"239",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_0","DMDEDUC3_DEMO"
"66","1","1st grade",252,"491",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_1","DMDEDUC3_DEMO"
"67","2","2nd grade",237,"728",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_2","DMDEDUC3_DEMO"
"68","3","3rd grade",220,"948",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_3","DMDEDUC3_DEMO"
"69","4","4th grade",217,"1165",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_4","DMDEDUC3_DEMO"
"70","5","5th grade",205,"1370",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_5","DMDEDUC3_DEMO"
"71","6","6th grade",180,"1550",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_6","DMDEDUC3_DEMO"
"72","7","7th grade",179,"1729",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_7","DMDEDUC3_DEMO"
"73","8","8th grade",210,"1939",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_8","DMDEDUC3_DEMO"
"74","9","9th grade",159,"2098",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_9","DMDEDUC3_DEMO"
"75","10","10th grade",160,"2258",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_10","DMDEDUC3_DEMO"
"76","11","11th grade",153,"2411",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_11","DMDEDUC3_DEMO"
"77","12","12th grade, no diploma",34,"2445",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_12","DMDEDUC3_DEMO"
"78","13","High school graduate",124,"2569",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_13","DMDEDUC3_DEMO"
"79","14","GED or equivalent",7,"2576",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_14","DMDEDUC3_DEMO"
"80","15","More than high school",58,"2634",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_15","DMDEDUC3_DEMO"
"81","55","Less than 5th grade",3,"2637",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_55","DMDEDUC3_DEMO"
"82","66","Less than 9th grade",9,"2646",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_66","DMDEDUC3_DEMO"
"83","77","Refused",0,"2646",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_77","DMDEDUC3_DEMO"
"84","99","Don't Know",1,"2647",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_99","DMDEDUC3_DEMO"
"85",".","Missing",7324,"9971",NA,"DMDEDUC3","DEMO_I.htm","DMDEDUC3_DEMO_.","DMDEDUC3_DEMO"
"86","1","Less than 9th grade",688,"688",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_1","DMDEDUC2_DEMO"
"87","2","9-11th grade (Includes 12th grade with no diploma)",676,"1364",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_2","DMDEDUC2_DEMO"
"88","3","High school graduate/GED or equivalent",1236,"2600",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_3","DMDEDUC2_DEMO"
"89","4","Some college or AA degree",1692,"4292",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_4","DMDEDUC2_DEMO"
"90","5","College graduate or above",1422,"5714",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_5","DMDEDUC2_DEMO"
"91","7","Refused",0,"5714",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_7","DMDEDUC2_DEMO"
"92","9","Don't Know",5,"5719",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_9","DMDEDUC2_DEMO"
"93",".","Missing",4252,"9971",NA,"DMDEDUC2","DEMO_I.htm","DMDEDUC2_DEMO_.","DMDEDUC2_DEMO"
"94","1","Married",2886,"2886",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_1","DMDMARTL_DEMO"
"95","2","Widowed",421,"3307",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_2","DMDMARTL_DEMO"
"96","3","Divorced",614,"3921",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_3","DMDMARTL_DEMO"
"97","4","Separated",192,"4113",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_4","DMDMARTL_DEMO"
"98","5","Never married",1048,"5161",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_5","DMDMARTL_DEMO"
"99","6","Living with partner",555,"5716",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_6","DMDMARTL_DEMO"
"100","77","Refused",2,"5718",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_77","DMDMARTL_DEMO"
"101","99","Don't Know",1,"5719",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_99","DMDMARTL_DEMO"
"102",".","Missing",4252,"9971",NA,"DMDMARTL","DEMO_I.htm","DMDMARTL_DEMO_.","DMDMARTL_DEMO"
"103","1","Yes, positive lab pregnancy test or self-reported pregnant at exam",70,"70",NA,"RIDEXPRG","DEMO_I.htm","RIDEXPRG_DEMO_1","RIDEXPRG_DEMO"
"104","2","The participant was not pregnant at exam",1125,"1195",NA,"RIDEXPRG","DEMO_I.htm","RIDEXPRG_DEMO_2","RIDEXPRG_DEMO"
"105","3","Cannot ascertain if the participant is pregnant at exam",93,"1288",NA,"RIDEXPRG","DEMO_I.htm","RIDEXPRG_DEMO_3","RIDEXPRG_DEMO"
"106",".","Missing",8683,"9971",NA,"RIDEXPRG","DEMO_I.htm","RIDEXPRG_DEMO_.","RIDEXPRG_DEMO"
"107","1","English",8584,"8584",NA,"SIALANG","DEMO_I.htm","SIALANG_DEMO_1","SIALANG_DEMO"
"108","2","Spanish",1387,"9971",NA,"SIALANG","DEMO_I.htm","SIALANG_DEMO_2","SIALANG_DEMO"
"109",".","Missing",0,"9971",NA,"SIALANG","DEMO_I.htm","SIALANG_DEMO_.","SIALANG_DEMO"
"110","1","Yes",3689,"3689",NA,"SIAPROXY","DEMO_I.htm","SIAPROXY_DEMO_1","SIAPROXY_DEMO"
"111","2","No",6281,"9970",NA,"SIAPROXY","DEMO_I.htm","SIAPROXY_DEMO_2","SIAPROXY_DEMO"
"112",".","Missing",1,"9971",NA,"SIAPROXY","DEMO_I.htm","SIAPROXY_DEMO_.","SIAPROXY_DEMO"
"113","1","Yes",457,"457",NA,"SIAINTRP","DEMO_I.htm","SIAINTRP_DEMO_1","SIAINTRP_DEMO"
"114","2","No",9514,"9971",NA,"SIAINTRP","DEMO_I.htm","SIAINTRP_DEMO_2","SIAINTRP_DEMO"
"115",".","Missing",0,"9971",NA,"SIAINTRP","DEMO_I.htm","SIAINTRP_DEMO_.","SIAINTRP_DEMO"
"116","1","English",8430,"8430",NA,"FIALANG","DEMO_I.htm","FIALANG_DEMO_1","FIALANG_DEMO"
"117","2","Spanish",1212,"9642",NA,"FIALANG","DEMO_I.htm","FIALANG_DEMO_2","FIALANG_DEMO"
"118",".","Missing",329,"9971",NA,"FIALANG","DEMO_I.htm","FIALANG_DEMO_.","FIALANG_DEMO"
"119","1","Yes",9,"9",NA,"FIAPROXY","DEMO_I.htm","FIAPROXY_DEMO_1","FIAPROXY_DEMO"
"120","2","No",9633,"9642",NA,"FIAPROXY","DEMO_I.htm","FIAPROXY_DEMO_2","FIAPROXY_DEMO"
"121",".","Missing",329,"9971",NA,"FIAPROXY","DEMO_I.htm","FIAPROXY_DEMO_.","FIAPROXY_DEMO"
"122","1","Yes",405,"405",NA,"FIAINTRP","DEMO_I.htm","FIAINTRP_DEMO_1","FIAINTRP_DEMO"
"123","2","No",9237,"9642",NA,"FIAINTRP","DEMO_I.htm","FIAINTRP_DEMO_2","FIAINTRP_DEMO"
"124",".","Missing",329,"9971",NA,"FIAINTRP","DEMO_I.htm","FIAINTRP_DEMO_.","FIAINTRP_DEMO"
"125","1","English",6382,"6382",NA,"MIALANG","DEMO_I.htm","MIALANG_DEMO_1","MIALANG_DEMO"
"126","2","Spanish",595,"6977",NA,"MIALANG","DEMO_I.htm","MIALANG_DEMO_2","MIALANG_DEMO"
"127",".","Missing",2994,"9971",NA,"MIALANG","DEMO_I.htm","MIALANG_DEMO_.","MIALANG_DEMO"
"128","1","Yes",57,"57",NA,"MIAPROXY","DEMO_I.htm","MIAPROXY_DEMO_1","MIAPROXY_DEMO"
"129","2","No",6921,"6978",NA,"MIAPROXY","DEMO_I.htm","MIAPROXY_DEMO_2","MIAPROXY_DEMO"
"130",".","Missing",2993,"9971",NA,"MIAPROXY","DEMO_I.htm","MIAPROXY_DEMO_.","MIAPROXY_DEMO"
"131","1","Yes",346,"346",NA,"MIAINTRP","DEMO_I.htm","MIAINTRP_DEMO_1","MIAINTRP_DEMO"
"132","2","No",6632,"6978",NA,"MIAINTRP","DEMO_I.htm","MIAINTRP_DEMO_2","MIAINTRP_DEMO"
"133",".","Missing",2993,"9971",NA,"MIAINTRP","DEMO_I.htm","MIAINTRP_DEMO_.","MIAINTRP_DEMO"
"134","1","English",5218,"5218",NA,"AIALANGA","DEMO_I.htm","AIALANGA_DEMO_1","AIALANGA_DEMO"
"135","2","Spanish",638,"5856",NA,"AIALANGA","DEMO_I.htm","AIALANGA_DEMO_2","AIALANGA_DEMO"
"136","3","Asian languages",106,"5962",NA,"AIALANGA","DEMO_I.htm","AIALANGA_DEMO_3","AIALANGA_DEMO"
"137",".","Missing",4009,"9971",NA,"AIALANGA","DEMO_I.htm","AIALANGA_DEMO_.","AIALANGA_DEMO"
"138","1","1",828,"828",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_1","DMDHHSIZ_DEMO"
"139","2","2",1723,"2551",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_2","DMDHHSIZ_DEMO"
"140","3","3",1719,"4270",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_3","DMDHHSIZ_DEMO"
"141","4","4",2061,"6331",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_4","DMDHHSIZ_DEMO"
"142","5","5",1672,"8003",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_5","DMDHHSIZ_DEMO"
"143","6","6",994,"8997",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_6","DMDHHSIZ_DEMO"
"144","7","7 or more people in the Household",974,"9971",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_7","DMDHHSIZ_DEMO"
"145",".","Missing",0,"9971",NA,"DMDHHSIZ","DEMO_I.htm","DMDHHSIZ_DEMO_.","DMDHHSIZ_DEMO"
"146","1","1",1305,"1305",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_1","DMDFMSIZ_DEMO"
"147","2","2",1510,"2815",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_2","DMDFMSIZ_DEMO"
"148","3","3",1634,"4449",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_3","DMDFMSIZ_DEMO"
"149","4","4",2011,"6460",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_4","DMDFMSIZ_DEMO"
"150","5","5",1635,"8095",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_5","DMDFMSIZ_DEMO"
"151","6","6",961,"9056",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_6","DMDFMSIZ_DEMO"
"152","7","7 or more people in the Family",915,"9971",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_7","DMDFMSIZ_DEMO"
"153",".","Missing",0,"9971",NA,"DMDFMSIZ","DEMO_I.htm","DMDFMSIZ_DEMO_.","DMDFMSIZ_DEMO"
"154","0","0",6298,"6298",NA,"DMDHHSZA","DEMO_I.htm","DMDHHSZA_DEMO_0","DMDHHSZA_DEMO"
"155","1","1",2147,"8445",NA,"DMDHHSZA","DEMO_I.htm","DMDHHSZA_DEMO_1","DMDHHSZA_DEMO"
"156","2","2",1199,"9644",NA,"DMDHHSZA","DEMO_I.htm","DMDHHSZA_DEMO_2","DMDHHSZA_DEMO"
"157","3","3 or more",327,"9971",NA,"DMDHHSZA","DEMO_I.htm","DMDHHSZA_DEMO_3","DMDHHSZA_DEMO"
"158",".","Missing",0,"9971",NA,"DMDHHSZA","DEMO_I.htm","DMDHHSZA_DEMO_.","DMDHHSZA_DEMO"
"159","0","0",4715,"4715",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_0","DMDHHSZB_DEMO"
"160","1","1",1990,"6705",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_1","DMDHHSZB_DEMO"
"161","2","2",1833,"8538",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_2","DMDHHSZB_DEMO"
"162","3","3",822,"9360",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_3","DMDHHSZB_DEMO"
"163","4","4 or more",611,"9971",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_4","DMDHHSZB_DEMO"
"164",".","Missing",0,"9971",NA,"DMDHHSZB","DEMO_I.htm","DMDHHSZB_DEMO_.","DMDHHSZB_DEMO"
"165","0","0",7151,"7151",NA,"DMDHHSZE","DEMO_I.htm","DMDHHSZE_DEMO_0","DMDHHSZE_DEMO"
"166","1","1",1663,"8814",NA,"DMDHHSZE","DEMO_I.htm","DMDHHSZE_DEMO_1","DMDHHSZE_DEMO"
"167","2","2",1099,"9913",NA,"DMDHHSZE","DEMO_I.htm","DMDHHSZE_DEMO_2","DMDHHSZE_DEMO"
"168","3","3 or more",58,"9971",NA,"DMDHHSZE","DEMO_I.htm","DMDHHSZE_DEMO_3","DMDHHSZE_DEMO"
"169",".","Missing",0,"9971",NA,"DMDHHSZE","DEMO_I.htm","DMDHHSZE_DEMO_.","DMDHHSZE_DEMO"
"170","1","Male",5053,"5053",NA,"DMDHRGND","DEMO_I.htm","DMDHRGND_DEMO_1","DMDHRGND_DEMO"
"171","2","Female",4918,"9971",NA,"DMDHRGND","DEMO_I.htm","DMDHRGND_DEMO_2","DMDHRGND_DEMO"
"172",".","Missing",0,"9971",NA,"DMDHRGND","DEMO_I.htm","DMDHRGND_DEMO_.","DMDHRGND_DEMO"
"173","18 to 79","Range of Values",9579,"9579",NA,"DMDHRAGE","DEMO_I.htm","DMDHRAGE_DEMO_18 to 79","DMDHRAGE_DEMO"
"174","80","80 years of age and over",392,"9971",NA,"DMDHRAGE","DEMO_I.htm","DMDHRAGE_DEMO_80","DMDHRAGE_DEMO"
"175",".","Missing",0,"9971",NA,"DMDHRAGE","DEMO_I.htm","DMDHRAGE_DEMO_.","DMDHRAGE_DEMO"
"176","1","Born in 50 US states or Washington, DC",6359,"6359",NA,"DMDHRBR4","DEMO_I.htm","DMDHRBR4_DEMO_1","DMDHRBR4_DEMO"
"177","2","Others",3207,"9566",NA,"DMDHRBR4","DEMO_I.htm","DMDHRBR4_DEMO_2","DMDHRBR4_DEMO"
"178","77","Refused",5,"9571",NA,"DMDHRBR4","DEMO_I.htm","DMDHRBR4_DEMO_77","DMDHRBR4_DEMO"
"179","99","Don't Know",4,"9575",NA,"DMDHRBR4","DEMO_I.htm","DMDHRBR4_DEMO_99","DMDHRBR4_DEMO"
"180",".","Missing",396,"9971",NA,"DMDHRBR4","DEMO_I.htm","DMDHRBR4_DEMO_.","DMDHRBR4_DEMO"
"181","1","Less Than 9th Grade",1087,"1087",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_1","DMDHREDU_DEMO"
"182","2","9-11th Grade (Includes 12th grade with no diploma)",1200,"2287",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_2","DMDHREDU_DEMO"
"183","3","High School Grad/GED or Equivalent",2015,"4302",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_3","DMDHREDU_DEMO"
"184","4","Some College or AA degree",2908,"7210",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_4","DMDHREDU_DEMO"
"185","5","College Graduate or above",2331,"9541",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_5","DMDHREDU_DEMO"
"186","7","Refused",0,"9541",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_7","DMDHREDU_DEMO"
"187","9","Don't Know",34,"9575",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_9","DMDHREDU_DEMO"
"188",".","Missing",396,"9971",NA,"DMDHREDU","DEMO_I.htm","DMDHREDU_DEMO_.","DMDHREDU_DEMO"
"189","1","Married",5681,"5681",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_1","DMDHRMAR_DEMO"
"190","2","Widowed",524,"6205",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_2","DMDHRMAR_DEMO"
"191","3","Divorced",977,"7182",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_3","DMDHRMAR_DEMO"
"192","4","Separated",353,"7535",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_4","DMDHRMAR_DEMO"
"193","5","Never married",1305,"8840",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_5","DMDHRMAR_DEMO"
"194","6","Living with partner",1017,"9857",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_6","DMDHRMAR_DEMO"
"195","77","Refused",44,"9901",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_77","DMDHRMAR_DEMO"
"196","99","Don't Know",8,"9909",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_99","DMDHRMAR_DEMO"
"197",".","Missing",62,"9971",NA,"DMDHRMAR","DEMO_I.htm","DMDHRMAR_DEMO_.","DMDHRMAR_DEMO"
"198","1","Less Than 9th Grade",619,"619",NA,"DMDHSEDU","DEMO_I.htm","DMDHSEDU_DEMO_1","DMDHSEDU_DEMO"
