"","code","libel"
"110","DR1ICAFF_DR1IFF","Caffeine (mg)"
"111","DR1ITHEO_DR1IFF","Theobromine (mg)"
"112","DR1IALCO_DR1IFF","Alcohol (gm)"
"113","DR1IMOIS_DR1IFF","Moisture (gm)"
"114","DR1IS040_DR1IFF","SFA 4:0 (Butanoic) (gm)"
"115","DR1IS060_DR1IFF","SFA 6:0 (Hexanoic) (gm)"
"116","DR1IS080_DR1IFF","SFA 8:0 (Octanoic) (gm)"
"117","DR1IS100_DR1IFF","SFA 10:0 (Decanoic) (gm)"
"118","DR1IS120_DR1IFF","SFA 12:0 (Dodecanoic) (gm)"
"119","DR1IS140_DR1IFF","SFA 14:0 (Tetradecanoic) (gm)"
"120","DR1IS160_DR1IFF","SFA 16:0 (Hexadecanoic) (gm)"
"121","DR1IS180_DR1IFF","SFA 18:0 (Octadecanoic) (gm)"
"122","DR1IM161_DR1IFF","MFA 16:1 (Hexadecenoic) (gm)"
"123","DR1IM181_DR1IFF","MFA 18:1 (Octadecenoic) (gm)"
"124","DR1IM201_DR1IFF","MFA 20:1 (Eicosenoic) (gm)"
"125","DR1IM221_DR1IFF","MFA 22:1 (Docosenoic) (gm)"
"126","DR1IP182_DR1IFF","PFA 18:2 (Octadecadienoic) (gm)"
"127","DR1IP183_DR1IFF","PFA 18:3 (Octadecatrienoic) (gm)"
"128","DR1IP184_DR1IFF","PFA 18:4 (Octadecatetraenoic) (gm)"
"129","DR1IP204_DR1IFF","PFA 20:4 (Eicosatetraenoic) (gm)"
"130","DR1IP205_DR1IFF","PFA 20:5 (Eicosapentaenoic) (gm)"
"131","DR1IP225_DR1IFF","PFA 22:5 (Docosapentaenoic) (gm)"
"132","DR1IP226_DR1IFF","PFA 22:6 (Docosahexaenoic) (gm)"
"133","SEQN_DR2IFF","Respondent sequence number"
"134","WTDRD1_DR2IFF","Dietary day one sample weight"
"135","WTDR2D_DR2IFF","day sample weight"
"136","DR2ILINE_DR2IFF","Food/Individual component number"
"137","DR2DRSTZ_DR2IFF","Dietary recall status"
"138","DR2EXMER_DR2IFF","Interviewer ID code"
"139","DRABF_DR2IFF","fed infant (either day)"
"140","DRDINT_DR2IFF","Number of days of intake"
"141","DR2DBIH_DR2IFF","# of days b/w intake and HH interview"
"142","DR2DAY_DR2IFF","Intake day of the week"
"143","DR2LANG_DR2IFF","Language respondent used mostly"
"144","DR2CCMNM_DR2IFF","Combination food number"
"145","DR2CCMTX_DR2IFF","Combination food type"
"146","DR2_020_DR2IFF","Time of eating occasion (HH:MM)"
"147","DR2_030Z_DR2IFF","Name of eating occasion"
"148","DR2FS_DR2IFF","Source of food"
"149","DR2_040Z_DR2IFF","Did you eat this meal at home?"
"150","DR2IFDCD_DR2IFF","USDA food code"
"151","DR2IGRMS_DR2IFF","Grams"
"152","DR2IKCAL_DR2IFF","Energy (kcal)"
"153","DR2IPROT_DR2IFF","Protein (gm)"
"154","DR2ICARB_DR2IFF","Carbohydrate (gm)"
"155","DR2ISUGR_DR2IFF","Total sugars (gm)"
"156","DR2IFIBE_DR2IFF","Dietary fiber (gm)"
"157","DR2ITFAT_DR2IFF","Total fat (gm)"
"158","DR2ISFAT_DR2IFF","Total saturated fatty acids (gm)"
"159","DR2IMFAT_DR2IFF","Total monounsaturated fatty acids (gm)"
"160","DR2IPFAT_DR2IFF","Total polyunsaturated fatty acids (gm)"
"161","DR2ICHOL_DR2IFF","Cholesterol (mg)"
"162","DR2IATOC_DR2IFF","tocopherol (mg)"
"163","DR2IATOA_DR2IFF","tocopherol (Vitamin E) (mg)"
"164","DR2IRET_DR2IFF","Retinol (mcg)"
"165","DR2IVARA_DR2IFF","Vitamin A, RAE (mcg)"
"166","DR2IACAR_DR2IFF","carotene (mcg)"
"167","DR2IBCAR_DR2IFF","carotene (mcg)"
"168","DR2ICRYP_DR2IFF","cryptoxanthin (mcg)"
"169","DR2ILYCO_DR2IFF","Lycopene (mcg)"
"170","DR2ILZ_DR2IFF","Lutein + zeaxanthin (mcg)"
"171","DR2IVB1_DR2IFF","Thiamin (Vitamin B1) (mg)"
"172","DR2IVB2_DR2IFF","Riboflavin (Vitamin B2) (mg)"
"173","DR2INIAC_DR2IFF","Niacin (mg)"
"174","DR2IVB6_DR2IFF","Vitamin B6 (mg)"
"175","DR2IFOLA_DR2IFF","Total folate (mcg)"
"176","DR2IFA_DR2IFF","Folic acid (mcg)"
"177","DR2IFF_DR2IFF","Food folate (mcg)"
"178","DR2IFDFE_DR2IFF","Folate, DFE (mcg)"
"179","DR2ICHL_DR2IFF","Total choline (mg)"
"180","DR2IVB12_DR2IFF","Vitamin B12 (mcg)"
"181","DR2IB12A_DR2IFF","Added vitamin B12 (mcg)"
"182","DR2IVC_DR2IFF","Vitamin C (mg)"
"183","DR2IVD_DR2IFF","Vitamin D (D2 + D3) (mcg)"
"184","DR2IVK_DR2IFF","Vitamin K (mcg)"
"185","DR2ICALC_DR2IFF","Calcium (mg)"
"186","DR2IPHOS_DR2IFF","Phosphorus (mg)"
"187","DR2IMAGN_DR2IFF","Magnesium (mg)"
"188","DR2IIRON_DR2IFF","Iron (mg)"
"189","DR2IZINC_DR2IFF","Zinc (mg)"
"190","DR2ICOPP_DR2IFF","Copper (mg)"
"191","DR2ISODI_DR2IFF","Sodium (mg)"
"192","DR2IPOTA_DR2IFF","Potassium (mg)"
"193","DR2ISELE_DR2IFF","Selenium (mcg)"
"194","DR2ICAFF_DR2IFF","Caffeine (mg)"
"195","DR2ITHEO_DR2IFF","Theobromine (mg)"
"196","DR2IALCO_DR2IFF","Alcohol (gm)"
"197","DR2IMOIS_DR2IFF","Moisture (gm)"
"198","DR2IS040_DR2IFF","SFA 4:0 (Butanoic) (gm)"
"199","DR2IS060_DR2IFF","SFA 6:0 (Hexanoic) (gm)"
"200","DR2IS080_DR2IFF","SFA 8:0 (Octanoic) (gm)"
"201","DR2IS100_DR2IFF","SFA 10:0 (Decanoic) (gm)"
"202","DR2IS120_DR2IFF","SFA 12:0 (Dodecanoic) (gm)"
"203","DR2IS140_DR2IFF","SFA 14:0 (Tetradecanoic) (gm)"
"204","DR2IS160_DR2IFF","SFA 16:0 (Hexadecanoic) (gm)"
"205","DR2IS180_DR2IFF","SFA 18:0 (Octadecanoic) (gm)"
"206","DR2IM161_DR2IFF","MFA 16:1 (Hexadecenoic) (gm)"
"207","DR2IM181_DR2IFF","MFA 18:1 (Octadecenoic) (gm)"
"208","DR2IM201_DR2IFF","MFA 20:1 (Eicosenoic) (gm)"
"209","DR2IM221_DR2IFF","MFA 22:1 (Docosenoic) (gm)"
"210","DR2IP182_DR2IFF","PFA 18:2 (Octadecadienoic) (gm)"
"211","DR2IP183_DR2IFF","PFA 18:3 (Octadecatrienoic) (gm)"
"212","DR2IP184_DR2IFF","PFA 18:4 (Octadecatetraenoic) (gm)"
"213","DR2IP204_DR2IFF","PFA 20:4 (Eicosatetraenoic) (gm)"
"214","DR2IP205_DR2IFF","PFA 20:5 (Eicosapentaenoic) (gm)"
"215","DR2IP225_DR2IFF","PFA 22:5 (Docosapentaenoic) (gm)"
"216","DR2IP226_DR2IFF","PFA 22:6 (Docosahexaenoic) (gm)"
"217","SEQN_DR1TOT","Respondent sequence number"
"218","WTDRD1_DR1TOT","Dietary day one sample weight"
"219","WTDR2D_DR1TOT","day sample weight"
"220","DR1DRSTZ_DR1TOT","Dietary recall status"
"221","DR1EXMER_DR1TOT","Interviewer ID code"
"222","DRABF_DR1TOT","fed infant (either day)"
"223","DRDINT_DR1TOT","Number of days of intake"
"224","DR1DBIH_DR1TOT","# of days b/w intake and HH interview"
"225","DR1DAY_DR1TOT","Intake day of the week"
"226","DR1LANG_DR1TOT","Language respondent used mostly"
"227","DR1MRESP_DR1TOT","Main respondent for this interview"
"228","DR1HELP_DR1TOT","Helped in responding for this interview"
"229","DBQ095Z_DR1TOT","Type of table salt used"
"230","DBD100_DR1TOT","How often add salt to food at table"
"231","DRQSPREP_DR1TOT","Salt used in preparation?"
"232","DR1STY_DR1TOT","Salt used at table yesterday?"
"233","DR1SKY_DR1TOT","Type of salt used yesterday"
"234","DRQSDIET_DR1TOT","On special diet?"
"235","DRQSDT1_DR1TOT","Weight loss/Low calorie diet"
"236","DRQSDT2_DR1TOT","Low fat/Low cholesterol diet"
"237","DRQSDT3_DR1TOT","Low salt/Low sodium diet"
"238","DRQSDT4_DR1TOT","Sugar free/Low sugar diet"
"239","DRQSDT5_DR1TOT","Low fiber diet"
"240","DRQSDT6_DR1TOT","High fiber diet"
"241","DRQSDT7_DR1TOT","Diabetic diet"
"242","DRQSDT8_DR1TOT","Weight gain/Muscle building diet"
"243","DRQSDT9_DR1TOT","Low carbohydrate diet"
"244","DRQSDT10_DR1TOT","High protein diet"
"245","DRQSDT11_DR1TOT","free/Celiac diet"
"246","DRQSDT12_DR1TOT","Renal/Kidney diet"
"247","DRQSDT91_DR1TOT","Other special diet"
"248","DR1TNUMF_DR1TOT","Number of foods/beverages reported"
"249","DR1TKCAL_DR1TOT","Energy (kcal)"
"250","DR1TPROT_DR1TOT","Protein (gm)"
"251","DR1TCARB_DR1TOT","Carbohydrate (gm)"
"252","DR1TSUGR_DR1TOT","Total sugars (gm)"
"253","DR1TFIBE_DR1TOT","Dietary fiber (gm)"
"254","DR1TTFAT_DR1TOT","Total fat (gm)"
"255","DR1TSFAT_DR1TOT","Total saturated fatty acids (gm)"
"256","DR1TMFAT_DR1TOT","Total monounsaturated fatty acids (gm)"
"257","DR1TPFAT_DR1TOT","Total polyunsaturated fatty acids (gm)"
"258","DR1TCHOL_DR1TOT","Cholesterol (mg)"
"259","DR1TATOC_DR1TOT","tocopherol (mg)"
"260","DR1TATOA_DR1TOT","tocopherol (Vitamin E) (mg)"
"261","DR1TRET_DR1TOT","Retinol (mcg)"
"262","DR1TVARA_DR1TOT","Vitamin A, RAE (mcg)"
"263","DR1TACAR_DR1TOT","carotene (mcg)"
"264","DR1TBCAR_DR1TOT","carotene (mcg)"
"265","DR1TCRYP_DR1TOT","cryptoxanthin (mcg)"
"266","DR1TLYCO_DR1TOT","Lycopene (mcg)"
"267","DR1TLZ_DR1TOT","Lutein + zeaxanthin (mcg)"
"268","DR1TVB1_DR1TOT","Thiamin (Vitamin B1) (mg)"
"269","DR1TVB2_DR1TOT","Riboflavin (Vitamin B2) (mg)"
"270","DR1TNIAC_DR1TOT","Niacin (mg)"
"271","DR1TVB6_DR1TOT","Vitamin B6 (mg)"
"272","DR1TFOLA_DR1TOT","Total folate (mcg)"
"273","DR1TFA_DR1TOT","Folic acid (mcg)"
"274","DR1TFF_DR1TOT","Food folate (mcg)"
"275","DR1TFDFE_DR1TOT","Folate, DFE (mcg)"
"276","DR1TCHL_DR1TOT","Total choline (mg) "
"277","DR1TVB12_DR1TOT","Vitamin B12 (mcg)"
"278","DR1TB12A_DR1TOT","Added vitamin B12 (mcg)"
"279","DR1TVC_DR1TOT","Vitamin C (mg)"
"280","DR1TVD_DR1TOT","Vitamin D (D2 + D3) (mcg)"
"281","DR1TVK_DR1TOT","Vitamin K (mcg)"
"282","DR1TCALC_DR1TOT","Calcium (mg)"
"283","DR1TPHOS_DR1TOT","Phosphorus (mg)"
"284","DR1TMAGN_DR1TOT","Magnesium (mg)"
"285","DR1TIRON_DR1TOT","Iron (mg)"
"286","DR1TZINC_DR1TOT","Zinc (mg)"
"287","DR1TCOPP_DR1TOT","Copper (mg)"
"288","DR1TSODI_DR1TOT","Sodium (mg)"
"289","DR1TPOTA_DR1TOT","Potassium (mg)"
"290","DR1TSELE_DR1TOT","Selenium (mcg)"
"291","DR1TCAFF_DR1TOT","Caffeine (mg)"
"292","DR1TTHEO_DR1TOT","Theobromine (mg)"
"293","DR1TALCO_DR1TOT","Alcohol (gm)"
"294","DR1TMOIS_DR1TOT","Moisture (gm)"
"295","DR1TS040_DR1TOT","SFA 4:0 (Butanoic) (gm)"
"296","DR1TS060_DR1TOT","SFA 6:0 (Hexanoic) (gm)"
"297","DR1TS080_DR1TOT","SFA 8:0 (Octanoic) (gm)"
"298","DR1TS100_DR1TOT","SFA 10:0 (Decanoic) (gm)"
"299","DR1TS120_DR1TOT","SFA 12:0 (Dodecanoic) (gm)"
"300","DR1TS140_DR1TOT","SFA 14:0 (Tetradecanoic) (gm)"
"301","DR1TS160_DR1TOT","SFA 16:0 (Hexadecanoic) (gm)"
"302","DR1TS180_DR1TOT","SFA 18:0 (Octadecanoic) (gm)"
"303","DR1TM161_DR1TOT","MFA 16:1 (Hexadecenoic) (gm)"
"304","DR1TM181_DR1TOT","MFA 18:1 (Octadecenoic) (gm)"
"305","DR1TM201_DR1TOT","MFA 20:1 (Eicosenoic) (gm)"
"306","DR1TM221_DR1TOT","MFA 22:1 (Docosenoic) (gm)"
"307","DR1TP182_DR1TOT","PFA 18:2 (Octadecadienoic) (gm)"
"308","DR1TP183_DR1TOT","PFA 18:3 (Octadecatrienoic) (gm)"
"309","DR1TP184_DR1TOT","PFA 18:4 (Octadecatetraenoic) (gm)"
"310","DR1TP204_DR1TOT","PFA 20:4 (Eicosatetraenoic) (gm)"
"311","DR1TP205_DR1TOT","PFA 20:5 (Eicosapentaenoic) (gm)"
"312","DR1TP225_DR1TOT","PFA 22:5 (Docosapentaenoic) (gm)"
"313","DR1TP226_DR1TOT","PFA 22:6 (Docosahexaenoic) (gm)"
"314","DR1_300_DR1TOT","Compare food consumed yesterday to usual"
"315","DR1_320Z_DR1TOT","Total plain water drank yesterday (gm)"
"316","DR1_330Z_DR1TOT","Total tap water drank yesterday (gm)"
"317","DR1BWATZ_DR1TOT","Total bottled water drank yesterday (gm)"
"318","DR1TWS_DR1TOT","Tap water source"
"319","DRD340_DR1TOT","Shellfish eaten during past 30 days"
"320","DRD350A_DR1TOT","Clams eaten during past 30 days"
"321","DRD350AQ_DR1TOT","# of times clams eaten in past 30 days"
"322","DRD350B_DR1TOT","Crabs eaten during past 30 days"
"323","DRD350BQ_DR1TOT","# of times crabs eaten in past 30 days"
"324","DRD350C_DR1TOT","Crayfish eaten during past 30 days"
"325","DRD350CQ_DR1TOT","# of times crayfish eaten past 30 days"
"326","DRD350D_DR1TOT","Lobsters eaten during past 30 days"
"327","DRD350DQ_DR1TOT","# of times lobsters eaten past 30 days"
"328","DRD350E_DR1TOT","Mussels eaten during past 30 days"
"329","DRD350EQ_DR1TOT","# of times mussels eaten in past 30 days"
"330","DRD350F_DR1TOT","Oysters eaten during past 30 days"
"331","DRD350FQ_DR1TOT","# of times oysters eaten in past 30 days"
"332","DRD350G_DR1TOT","Scallops eaten during past 30 days"
"333","DRD350GQ_DR1TOT","# of times scallops eaten past 30 days"
"334","DRD350H_DR1TOT","Shrimp eaten during past 30 days"
"335","DRD350HQ_DR1TOT","# of times shrimp eaten in past 30 days"
"336","DRD350I_DR1TOT","Other shellfish eaten past 30 days"
"337","DRD350IQ_DR1TOT","# of times other shellfish eaten"
"338","DRD350J_DR1TOT","Other unknown shellfish eaten past 30 d"
"339","DRD350JQ_DR1TOT","# of times other unknown shellfish eaten"
"340","DRD350K_DR1TOT","Refused on shellfish eaten past 30 days"
"341","DRD360_DR1TOT","Fish eaten during past 30 days"
"342","DRD370A_DR1TOT","Breaded fish products eaten past 30 days"
"343","DRD370AQ_DR1TOT","# of times breaded fish products eaten"
"344","DRD370B_DR1TOT","Tuna eaten during past 30 days"
"345","DRD370BQ_DR1TOT","# of times tuna eaten in past 30 days"
"346","DRD370C_DR1TOT","Bass eaten during past 30 days"
"347","DRD370CQ_DR1TOT","# of times bass eaten in past 30 days"
"348","DRD370D_DR1TOT","Catfish eaten during past 30 days"
"349","DRD370DQ_DR1TOT","# of times catfish eaten in past 30 days"
"350","DRD370E_DR1TOT","Cod eaten during past 30 days"
"351","DRD370EQ_DR1TOT","# of times cod eaten in past 30 days"
"352","DRD370F_DR1TOT","Flatfish eaten during past 30 days"
"353","DRD370FQ_DR1TOT","# of times flatfish eaten past 30 days"
"354","DRD370G_DR1TOT","Haddock eaten during past 30 days"
"355","DRD370GQ_DR1TOT","# of times haddock eaten in past 30 days"
"356","DRD370H_DR1TOT","Mackerel eaten during past 30 days"
"357","DRD370HQ_DR1TOT","# of times mackerel eaten past 30 days"
"358","DRD370I_DR1TOT","Perch eaten during past 30 days"
"359","DRD370IQ_DR1TOT","# of times perch eaten in past 30 days"
"360","DRD370J_DR1TOT","Pike eaten during past 30 days"
"361","DRD370JQ_DR1TOT","# of times pike eaten in past 30 days"
"362","DRD370K_DR1TOT","Pollock eaten during past 30 days"
"363","DRD370KQ_DR1TOT","# of times pollock eaten in past 30 days"
"364","DRD370L_DR1TOT","Porgy eaten during past 30 days"
"365","DRD370LQ_DR1TOT","# of times porgy eaten in past 30 days"
"366","DRD370M_DR1TOT","Salmon eaten during past 30 days"
"367","DRD370MQ_DR1TOT","# of times salmon eaten in past 30 days"
"368","DRD370N_DR1TOT","Sardines eaten during past 30 days"
"369","DRD370NQ_DR1TOT","# of times sardines eaten past 30 days"
"370","DRD370O_DR1TOT","Sea bass eaten during past 30 days"
"371","DRD370OQ_DR1TOT","# of times sea bass eaten past 30 days"
"372","DRD370P_DR1TOT","Shark eaten during past 30 days"
"373","DRD370PQ_DR1TOT","# of times shark eaten in past 30 days"
"374","DRD370Q_DR1TOT","Swordfish eaten during past 30 days"
"375","DRD370QQ_DR1TOT","# of times swordfish eaten past 30 days"
"376","DRD370R_DR1TOT","Trout eaten during past 30 days"
"377","DRD370RQ_DR1TOT","# of times trout eaten in past 30 days"
"378","DRD370S_DR1TOT","Walleye eaten during past 30 days"
"379","DRD370SQ_DR1TOT","# of times walleye eaten in past 30 days"
"380","DRD370T_DR1TOT","Other fish eaten during past 30 days"
"381","DRD370TQ_DR1TOT","# of times other fish eaten past 30 days"
"382","DRD370U_DR1TOT","Other unknown fish eaten in past 30 days"
"383","DRD370UQ_DR1TOT","# of times other unknown fish eaten"
"384","DRD370V_DR1TOT","Refused on fish eaten past 30 days"
"385","SEQN_DR2TOT","Respondent sequence number"
"386","WTDRD1_DR2TOT","Dietary day one sample weight"
"387","WTDR2D_DR2TOT","day sample weight"
"388","DR2DRSTZ_DR2TOT","Dietary recall status"
"389","DR2EXMER_DR2TOT","Interviewer ID code"
"390","DRABF_DR2TOT","fed infant (either day)"
"391","DRDINT_DR2TOT","Number of days of intake"
"392","DR2DBIH_DR2TOT","# of days b/w intake and HH interview "
"393","DR2DAY_DR2TOT","Intake day of the week"
"394","DR2LANG_DR2TOT","Language respondent used mostly"
"395","DR2MRESP_DR2TOT","Main respondent for this interview"
"396","DR2HELP_DR2TOT","Helped in responding for this interview"
"397","DR2TNUMF_DR2TOT","Number of foods/beverages reported"
"398","DR2STY_DR2TOT","Salt used at table yesterday?"
"399","DR2SKY_DR2TOT","Type of salt used yesterday"
"400","DR2TKCAL_DR2TOT","Energy (kcal)"
"401","DR2TPROT_DR2TOT","Protein (gm)"
"402","DR2TCARB_DR2TOT","Carbohydrate (gm)"
"403","DR2TSUGR_DR2TOT","Total sugars (gm)"
"404","DR2TFIBE_DR2TOT","Dietary fiber (gm)"
"405","DR2TTFAT_DR2TOT","Total fat (gm)"
"406","DR2TSFAT_DR2TOT","Total saturated fatty acids (gm)"
"407","DR2TMFAT_DR2TOT","Total monounsaturated fatty acids (gm)"
"408","DR2TPFAT_DR2TOT","Total polyunsaturated fatty acids (gm)"
"409","DR2TCHOL_DR2TOT","Cholesterol (mg)"
"410","DR2TATOC_DR2TOT","tocopherol (mg)"
"411","DR2TATOA_DR2TOT","tocopherol (Vitamin E) (mg)"
"412","DR2TRET_DR2TOT","Retinol (mcg)"
"413","DR2TVARA_DR2TOT","Vitamin A, RAE (mcg)"
"414","DR2TACAR_DR2TOT","carotene (mcg)"
"415","DR2TBCAR_DR2TOT","carotene (mcg)"
"416","DR2TCRYP_DR2TOT","cryptoxanthin (mcg)"
"417","DR2TLYCO_DR2TOT","Lycopene (mcg)"
"418","DR2TLZ_DR2TOT","Lutein + zeaxanthin (mcg)"
"419","DR2TVB1_DR2TOT","Thiamin (Vitamin B1) (mg)"
"420","DR2TVB2_DR2TOT","Riboflavin (Vitamin B2) (mg)"
"421","DR2TNIAC_DR2TOT","Niacin (mg)"
"422","DR2TVB6_DR2TOT","Vitamin B6 (mg)"
"423","DR2TFOLA_DR2TOT","Total folate (mcg)"
"424","DR2TFA_DR2TOT","Folic acid (mcg)"
"425","DR2TFF_DR2TOT","Food folate (mcg)"
"426","DR2TFDFE_DR2TOT","Folate, DFE (mcg)"
"427","DR2TCHL_DR2TOT","Total choline (mg) "
"428","DR2TVB12_DR2TOT","Vitamin B12 (mcg)"
"429","DR2TB12A_DR2TOT","Added vitamin B12 (mcg)"
"430","DR2TVC_DR2TOT","Vitamin C (mg)"
"431","DR2TVD_DR2TOT","Vitamin D (D2 + D3) (mcg) "
"432","DR2TVK_DR2TOT","Vitamin K (mcg)"
"433","DR2TCALC_DR2TOT","Calcium (mg)"
"434","DR2TPHOS_DR2TOT","Phosphorus (mg)"
"435","DR2TMAGN_DR2TOT","Magnesium (mg)"
"436","DR2TIRON_DR2TOT","Iron (mg)"
"437","DR2TZINC_DR2TOT","Zinc (mg)"
"438","DR2TCOPP_DR2TOT","Copper (mg)"
"439","DR2TSODI_DR2TOT","Sodium (mg)"
"440","DR2TPOTA_DR2TOT","Potassium (mg)"
"441","DR2TSELE_DR2TOT","Selenium (mcg)"
"442","DR2TCAFF_DR2TOT","Caffeine (mg)"
"443","DR2TTHEO_DR2TOT","Theobromine (mg)"
"444","DR2TALCO_DR2TOT","Alcohol (gm)"
